Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),NORTH ZONE:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),REHEAT COIL ZONE 1:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 2:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 3:Heating Coil Heating Energy [J](TimeStep),DETAILED COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),LITTLE CHILLER:Chiller Electricity Rate [W](TimeStep),LITTLE CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),LITTLE CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),LITTLE CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),LITTLE CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Electricity Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),BIG CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Heat Transfer Rate [W](TimeStep),BIG TOWER1:Cooling Tower Fan Electricity Rate [W](TimeStep),BIG TOWER1:Cooling Tower Fan Electricity Energy [J](TimeStep),BIG TOWER2:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER2:Cooling Tower Heat Transfer Rate [W](TimeStep),BIG TOWER2:Cooling Tower Fan Electricity Rate [W](TimeStep),BIG TOWER2:Cooling Tower Fan Electricity Energy [J](TimeStep) 
 01/21  00:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.999702062867432,15.007065548290619,15.002733242880576,0.0,0.0,0.0,10846.544844670036,0.0,0.0,1843644.9020319477,1922765.0496096905,2820237.751433477,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  00:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994676434081505,15.003981691836393,14.997665815318591,0.0,0.0,0.0,10827.080313621047,0.0,0.0,1843426.982404326,1922538.0711209505,2819908.9357511468,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  00:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.005297537208398,15.000754927508949,14.99724987379782,0.0,0.0,0.0,10910.393662546914,0.0,0.0,1862728.8608521699,1931185.086148898,2835214.154201267,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  00:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004270532431156,15.003292976368522,15.005082353840783,0.0,0.0,0.0,10950.895232013143,0.0,0.0,1862614.245258126,1939488.6440215384,2849992.8517589319,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  00:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994215293279443,14.99679653543666,15.000807992054533,0.0,0.0,0.0,10932.75845987101,0.0,0.0,1862484.5728139075,1939353.7900484005,2849797.167775323,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  01:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.003884646183368,15.004435691445554,15.000208002054544,0.0,0.0,0.0,11031.877162028606,0.0,0.0,1881742.5901183079,1956396.359111928,2865103.8020147087,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  01:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004932985137123,15.00266660581433,14.994672322642832,0.0,0.0,0.0,11014.929105355102,0.0,0.0,1881519.2676605199,1956164.4633153233,2864768.429532598,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  01:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994294506049329,15.001388444292095,14.997242446137319,0.0,0.0,0.0,11064.061831971061,0.0,0.0,1881606.7129393547,1964577.2075526722,2879697.181148399,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  01:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004828895429311,15.003559309483523,15.005400922479569,0.0,0.0,0.0,11140.368433604523,0.0,0.0,1900568.423792347,1973007.8948662326,2894624.2508569846,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  01:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.007679537855932,14.998677976664743,15.002489876117386,0.0,0.0,0.0,11121.458915602865,0.0,0.0,1900260.7876470665,1972688.9183893568,2894162.188007584,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
