Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),NORTH ZONE:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),REHEAT COIL ZONE 1:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 2:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 3:Heating Coil Heating Energy [J](TimeStep),DETAILED COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),LITTLE CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),LITTLE CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),LITTLE CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),LITTLE CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),BIG CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Heat Transfer Rate [W](TimeStep),BIG TOWER2:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER2:Cooling Tower Heat Transfer Rate [W](TimeStep) 
 01/21  00:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.999473383883612,15.006726945155148,15.002500839404917,0.0,0.0,0.0,10846.02666350325,0.0,0.0,1843563.3242568102,1922648.8788496948,2820124.05328037,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  00:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994439800658988,15.003635945611679,14.997425889081656,0.0,0.0,0.0,10826.562587455563,0.0,0.0,1843345.6952194262,1922422.2066127749,2819795.6744660355,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  00:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.00505478181268,15.000402007629763,14.997002450623232,0.0,0.0,0.0,10909.871420665018,0.0,0.0,1862646.0798726828,1931068.423696781,2835099.8553864306,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  00:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004021528804165,15.002932877511427,15.00482810843661,0.0,0.0,0.0,10950.370037781557,0.0,0.0,1862531.7523311757,1939371.1740481589,2849877.493996287,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  00:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.993957632324087,14.996429222553204,15.00054678413138,0.0,0.0,0.0,10932.234003079531,0.0,0.0,1862402.3605143219,1939236.6140488748,2849682.2325685855,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.003620903956972,15.004061960097534,14.999940050549427,0.0,0.0,0.0,11031.347181192932,0.0,0.0,1881658.88576611,1956277.2761633,2864987.8358524569,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004663384094743,15.002286597381812,14.994396949509897,0.0,0.0,0.0,11014.399261860088,0.0,0.0,1881435.8383114609,1956045.669624544,2864652.874695947,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994017433790797,15.001001774145035,14.996960241933074,0.0,0.0,0.0,11063.529511120492,0.0,0.0,1881523.5506045738,1964457.581623961,2879580.542708361,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004545902216452,15.003166468120512,15.005113390262615,0.0,0.0,0.0,11139.831338423837,0.0,0.0,1900483.7524338277,1972887.4548749065,2894506.558334719,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.007390761331147,14.998278224310067,15.002195953365846,0.0,0.0,0.0,11120.92219633685,0.0,0.0,1900176.3709329402,1972568.7475490142,2894044.8757158,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  01:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.998005648502734,14.997979778124117,15.004634887867942,0.0,0.0,0.0,11168.70682337829,0.0,0.0,1900234.0516718084,1980883.0693891338,2908775.8440426585,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  02:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.997688252661025,15.001702323563029,14.999021287489244,0.0,0.0,0.0,11186.938941818142,0.0,0.0,1909700.0795123915,1989218.3226618975,2908939.4928169224,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  02:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004454394986814,14.995074444336428,15.001693853145588,0.0,0.0,0.0,11236.497709612006,0.0,0.0,1919069.0136767945,1989266.970318803,2923580.804006317,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  02:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.000963091041279,15.005927568249105,14.998001974209222,0.0,0.0,0.0,11253.070477514935,0.0,0.0,1919002.4627284958,2005545.6951542067,2923480.8329006435,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  02:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.991541002873527,15.00566359656798,15.002020681469168,0.0,0.0,0.0,11285.026219646477,0.0,0.0,1918985.2247686159,2005527.7052966594,2937951.6668684708,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
 01/21  02:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004567190766519,14.994312706863328,14.997799861687863,0.0,0.0,0.0,11305.525830490984,0.0,0.0,1937609.009230945,2005616.8149214034,2938080.6013813687,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0 
